Re	Im
1.962640	0.000000
1.962677	0.024043
1.962845	0.048150
1.963124	0.072301
1.963578	0.096515
1.964283	0.120525
1.964947	0.145010
1.965809	0.169308
1.966761	0.193715
1.967854	0.218217
1.969116	0.242881
1.970554	0.267641
1.972158	0.292617
1.973871	0.317635
1.975733	0.342879
1.977977	0.368206
1.980114	0.393906
1.982749	0.419617
1.985468	0.445820
1.988432	0.472233
1.991500	0.498857
1.994935	0.525815
1.998752	0.553082
2.002639	0.580760
2.006921	0.608913
2.011358	0.637160
2.016459	0.666158
2.021638	0.695513
2.027375	0.725364
2.033477	0.755831
2.040059	0.786907
2.047050	0.818645
2.054623	0.851024
2.062656	0.884124
2.071455	0.918248
2.080944	0.952902
2.091033	0.988861
2.101466	1.025820
2.113317	1.063820
2.125812	1.102884
2.139246	1.143514
2.153862	1.185477
2.169492	1.228981
2.186526	1.274414
2.204939	1.321519
2.224690	1.370870
2.246336	1.422444
2.269820	1.476643
2.295063	1.533641
2.323024	1.593799
2.353246	1.657418
2.386487	1.724960
2.422853	1.796833
2.462884	1.873850
2.506937	1.956583
2.555444	2.045563
2.610100	2.141745
2.670026	2.247004
2.737978	2.361432
2.814042	2.488059
2.899977	2.628333
2.997662	2.784701
3.109688	2.960697
3.239307	3.160489
3.390248	3.389988
3.568008	3.656709
3.780230	3.970543
4.037615	4.346420
4.355379	4.805308
4.756684	5.379443
5.278711	6.119513
5.983569	7.111135
6.985774	8.512140
8.520447	10.645730
11.157239	14.296498
16.734344	21.993828
36.276150	48.912064
-139.691116	-193.264374
-22.396130	-31.799461
-11.740965	-17.113138
-7.751611	-11.600756
-5.666263	-8.709504
-4.386728	-6.927451
-3.523051	-5.717393
-2.902176	-4.841672
-2.434874	-4.177680
-2.071418	-3.656437
-1.781170	-3.236424
-1.544644	-2.889894
-1.348808	-2.599397
-1.183692	-2.351512
-1.043422	-2.137902
-0.923007	-1.951412
-0.818760	-1.787459
-0.727935	-1.641994
-0.648066	-1.511988
-0.577242	-1.394701
-0.515518	-1.288474
-0.459544	-1.192189
-0.410156	-1.103589
-0.365934	-1.022677
-0.326078	-0.948032
-0.290471	-0.878918
-0.258114	-0.814970
-0.229314	-0.755287
-0.202966	-0.699772
-0.179304	-0.647620
-0.157878	-0.598845
-0.138413	-0.553024
-0.121130	-0.509646
-0.105266	-0.469027
-0.091202	-0.430534
-0.078432	-0.394156
-0.066990	-0.359695
-0.056682	-0.326880
-0.047571	-0.295850
-0.039487	-0.266184
-0.032483	-0.237877
-0.026539	-0.210731
-0.020483	-0.185795
-0.015931	-0.161259
-0.011859	-0.137706
-0.008522	-0.115487
-0.005651	-0.094036
-0.003641	-0.073542
-0.002122	-0.054032
-0.000965	-0.035248
-0.000287	-0.017371
-0.000032	-0.000058
-0.000048	0.016562
-0.000758	0.032914
-0.001830	0.047868
-0.002988	0.062244
-0.004655	0.076292
-0.006461	0.089800
-0.008772	0.102590
-0.011187	0.115232
-0.013970	0.126927
-0.017069	0.138431
-0.020235	0.149373
-0.023692	0.159894
-0.027510	0.170036
-0.031023	0.179586
-0.034572	0.188911
-0.039420	0.197729
-0.043684	0.206144
-0.048028	0.214263
-0.052680	0.222173
-0.057506	0.229667
