Re	Im
-0.000006	0.000000
0.000198	-0.016886
0.000835	-0.033776
0.001870	-0.050697
0.003302	-0.067587
0.005169	-0.084471
0.007456	-0.101366
0.010192	-0.118253
0.013329	-0.135186
0.016868	-0.152143
0.020830	-0.169082
0.025252	-0.185987
0.030133	-0.202948
0.035406	-0.219928
0.041087	-0.236928
0.047234	-0.253888
0.053833	-0.270891
0.060938	-0.287840
0.068541	-0.304990
0.076469	-0.322108
0.084844	-0.339098
0.093998	-0.356238
0.103304	-0.373454
0.113169	-0.390525
0.123687	-0.407701
0.134666	-0.424973
0.146117	-0.442260
0.158127	-0.459608
0.170630	-0.476918
0.183753	-0.494327
0.197453	-0.511757
0.211674	-0.529303
0.226521	-0.546913
0.241944	-0.564510
0.258062	-0.582187
0.274808	-0.599950
0.292213	-0.617839
0.310286	-0.635775
0.329062	-0.653789
0.348643	-0.671918
0.368893	-0.690041
0.389933	-0.708540
0.411866	-0.726889
0.434463	-0.745591
0.458029	-0.764289
0.482597	-0.783171
0.508026	-0.802259
0.534453	-0.821624
0.561822	-0.841092
0.590370	-0.860476
0.620069	-0.880367
0.650806	-0.900424
0.682866	-0.920824
0.716286	-0.941443
0.751092	-0.962327
0.787230	-0.983519
0.824900	-1.005214
0.864251	-1.027115
0.905295	-1.049560
0.948094	-1.072300
0.993114	-1.095432
1.039784	-1.119674
1.088667	-1.143830
1.140372	-1.168719
1.194848	-1.194694
1.251164	-1.221004
1.311026	-1.248124
1.373911	-1.276314
1.440133	-1.305355
1.510329	-1.335505
1.584531	-1.366842
1.663057	-1.399350
1.746624	-1.433384
1.835413	-1.468922
1.930346	-1.506437
2.031628	-1.545791
2.140228	-1.587209
2.257023	-1.631373
2.382945	-1.678368
2.519071	-1.728473
2.666968	-1.782052
2.827810	-1.839319
3.003890	-1.902460
3.197788	-1.970032
3.411461	-2.044847
3.649403	-2.127020
3.915613	-2.218211
4.215085	-2.320082
4.555433	-2.434921
4.945499	-2.565643
5.396969	-2.716736
5.926580	-2.892853
6.556617	-3.101065
7.318692	-3.352254
8.260430	-3.661819
9.454608	-4.053122
11.019652	-4.564449
13.160438	-5.263240
16.271475	-6.276934
21.207394	-7.883100
30.248688	-10.823397
52.193615	-17.956579
183.821243	-60.730911
-123.278564	39.054962
-46.492329	14.103827
-28.766069	8.342450
-20.882145	5.778941
-16.422153	4.328522
-13.551541	3.394747
-11.548169	2.742422
-10.069366	2.261209
-8.932387	1.891181
-8.030269	1.597459
-7.296404	1.358457
-6.687565	1.160274
-6.173851	0.993491
-5.734349	0.850634
-5.353512	0.727113
-5.020205	0.619265
-4.725987	0.524425
-4.463781	0.440125
-4.229451	0.364582
-4.017754	0.295799
-3.825130	0.235035
-3.650254	0.178796
-3.488728	0.128434
-3.340979	0.081895
