i	abs	big_freq	loca
0	0.000031	0.000031	0
1	0.037780	0.037780	1
2	0.075645	0.075645	2
3	0.113694	0.113694	3
4	0.151974	0.151974	4
5	0.190613	0.190613	5
6	0.229749	0.229749	6
7	0.269231	0.269231	7
8	0.309482	0.309482	8
9	0.350416	0.350416	9
10	0.392186	0.392186	10
11	0.434895	0.434895	11
12	0.478738	0.478738	12
13	0.523712	0.523712	13
14	0.570094	0.570094	14
15	0.617969	0.617969	15
16	0.667576	0.667576	16
17	0.718894	0.718894	17
18	0.772725	0.772725	18
19	0.828680	0.828680	19
20	0.886925	0.886925	20
21	0.948439	0.948439	21
22	1.012982	1.012982	22
23	1.081218	1.081218	23
24	1.153453	1.153453	24
25	1.230285	1.230285	25
26	1.312209	1.312209	26
27	1.399893	1.399893	27
28	1.494090	1.494090	28
29	1.595966	1.595966	29
30	1.706335	1.706335	30
31	1.826510	1.826510	31
32	1.958213	1.958213	32
33	2.103426	2.103426	33
34	2.264332	2.264332	34
35	2.443968	2.443968	35
36	2.646069	2.646069	36
37	2.875432	2.875432	37
38	3.138168	3.138168	38
39	3.442989	3.442989	39
40	3.800721	3.800721	40
41	4.226792	4.226792	41
42	4.744022	4.744022	42
43	5.385646	5.385646	43
44	6.203381	6.203381	44
45	7.282887	7.282887	45
46	8.774974	8.774974	46
47	10.974180	10.974180	47
48	14.544212	14.544212	48
49	21.353592	21.353592	49
50	39.502361	39.502361	50
51	239.080170	239.080170	51
52	60.270657	239.080170	51
53	27.003679	239.080170	51
54	17.494459	239.080170	51
55	12.987447	239.080170	51
56	10.355945	239.080170	51
57	8.630228	239.080170	51
58	7.410560	239.080170	51
59	6.502223	239.080170	51
60	5.799297	239.080170	51
61	5.238706	239.080170	51
62	4.781209	239.080170	51
63	4.400160	239.080170	51
64	4.078215	239.080170	51
65	3.802339	239.080170	51
66	3.562937	239.080170	51
67	3.353500	239.080170	51
68	3.168433	239.080170	51
69	3.003545	239.080170	51
70	2.855848	239.080170	51
71	2.722678	239.080170	51
72	2.601996	239.080170	51
73	2.491352	239.080170	51
74	2.391147	239.080170	51
75	2.298588	239.080170	51
76	2.213217	239.080170	51
77	2.134026	239.080170	51
78	2.060626	239.080170	51
79	1.992178	239.080170	51
80	1.928245	239.080170	51
81	1.868446	239.080170	51
82	1.812205	239.080170	51
83	1.759362	239.080170	51
84	1.709484	239.080170	51
85	1.662335	239.080170	51
86	1.617803	239.080170	51
87	1.575518	239.080170	51
88	1.535473	239.080170	51
89	1.497220	239.080170	51
90	1.460866	239.080170	51
91	1.426071	239.080170	51
92	1.392997	239.080170	51
93	1.361133	239.080170	51
94	1.330902	239.080170	51
95	1.301774	239.080170	51
96	1.273774	239.080170	51
97	1.246915	239.080170	51
98	1.221120	239.080170	51
99	1.196301	239.080170	51
100	1.172270	239.080170	51
101	1.149015	239.080170	51
102	1.126756	239.080170	51
103	1.105235	239.080170	51
104	1.084374	239.080170	51
105	1.064178	239.080170	51
106	1.044713	239.080170	51
107	1.025688	239.080170	51
108	1.007769	239.080170	51
109	0.989486	239.080170	51
110	0.972252	239.080170	51
111	0.955260	239.080170	51
112	0.939113	239.080170	51
113	0.923151	239.080170	51
114	0.908145	239.080170	51
115	0.892032	239.080170	51
116	0.877870	239.080170	51
117	0.863642	239.080170	51
118	0.849596	239.080170	51
119	0.836091	239.080170	51
120	0.822317	239.080170	51
121	0.809702	239.080170	51
122	0.797367	239.080170	51
123	0.784577	239.080170	51
124	0.772534	239.080170	51
125	0.760644	239.080170	51
126	0.749159	239.080170	51
127	0.737730	239.080170	51
128	0.726447	239.080170	51
129	0.715588	239.080170	51
130	0.704609	239.080170	51
131	0.694510	239.080170	51
132	0.684246	239.080170	51
133	0.674092	239.080170	51
134	0.664320	239.080170	51
135	0.654553	239.080170	51
136	0.644992	239.080170	51
137	0.635470	239.080170	51
138	0.626301	239.080170	51
139	0.617508	239.080170	51
140	0.608342	239.080170	51
141	0.599588	239.080170	51
142	0.590785	239.080170	51
143	0.582483	239.080170	51
144	0.574281	239.080170	51
145	0.565853	239.080170	51
146	0.557851	239.080170	51
147	0.549802	239.080170	51
148	0.541949	239.080170	51
149	0.534258	239.080170	51
150	0.526686	239.080170	51
151	0.519027	239.080170	51
152	0.511734	239.080170	51
153	0.504364	239.080170	51
154	0.497117	239.080170	51
155	0.489530	239.080170	51
156	0.482972	239.080170	51
157	0.475828	239.080170	51
158	0.468820	239.080170	51
159	0.462326	239.080170	51
160	0.455586	239.080170	51
161	0.449113	239.080170	51
162	0.442555	239.080170	51
163	0.436035	239.080170	51
164	0.429741	239.080170	51
165	0.423336	239.080170	51
166	0.417104	239.080170	51
167	0.410888	239.080170	51
168	0.404785	239.080170	51
169	0.398439	239.080170	51
170	0.392694	239.080170	51
171	0.387087	239.080170	51
172	0.380905	239.080170	51
173	0.375529	239.080170	51
174	0.369588	239.080170	51
175	0.363981	239.080170	51
176	0.358049	239.080170	51
177	0.352617	239.080170	51
178	0.347017	239.080170	51
179	0.341432	239.080170	51
180	0.336233	239.080170	51
181	0.330666	239.080170	51
182	0.325274	239.080170	51
183	0.320094	239.080170	51
184	0.314753	239.080170	51
185	0.309841	239.080170	51
186	0.304369	239.080170	51
187	0.299444	239.080170	51
188	0.293801	239.080170	51
189	0.289146	239.080170	51
190	0.284280	239.080170	51
191	0.278934	239.080170	51
192	0.274267	239.080170	51
193	0.268320	239.080170	51
194	0.264327	239.080170	51
195	0.259483	239.080170	51
196	0.255353	239.080170	51
197	0.249924	239.080170	51
198	0.245221	239.080170	51
199	0.240270	239.080170	51
200	0.235593	239.080170	51
201	0.231340	239.080170	51
202	0.226149	239.080170	51
203	0.221612	239.080170	51
204	0.217360	239.080170	51
205	0.213036	239.080170	51
206	0.208060	239.080170	51
207	0.203605	239.080170	51
208	0.198972	239.080170	51
209	0.194579	239.080170	51
210	0.190164	239.080170	51
211	0.185786	239.080170	51
212	0.181114	239.080170	51
213	0.176783	239.080170	51
214	0.172500	239.080170	51
215	0.168910	239.080170	51
216	0.164238	239.080170	51
217	0.159696	239.080170	51
218	0.155277	239.080170	51
219	0.150885	239.080170	51
220	0.146637	239.080170	51
221	0.142826	239.080170	51
222	0.138219	239.080170	51
223	0.134007	239.080170	51
224	0.129857	239.080170	51
225	0.125541	239.080170	51
226	0.121447	239.080170	51
227	0.117207	239.080170	51
228	0.113122	239.080170	51
229	0.108669	239.080170	51
230	0.105002	239.080170	51
231	0.101021	239.080170	51
232	0.096164	239.080170	51
233	0.092575	239.080170	51
234	0.088367	239.080170	51
235	0.084454	239.080170	51
236	0.080265	239.080170	51
237	0.075719	239.080170	51
238	0.072186	239.080170	51
239	0.067766	239.080170	51
240	0.065012	239.080170	51
241	0.060098	239.080170	51
242	0.056067	239.080170	51
243	0.052125	239.080170	51
244	0.047652	239.080170	51
245	0.043908	239.080170	51
246	0.038853	239.080170	51
247	0.035951	239.080170	51
248	0.032163	239.080170	51
249	0.027532	239.080170	51
250	0.023851	239.080170	51
251	0.019888	239.080170	51
252	0.016136	239.080170	51
253	0.012004	239.080170	51
254	0.007569	239.080170	51
255	0.003511	239.080170	51
